type,isolate,protein,oil,total_density,bone_density,bone_volume,total_volume,repetitions,std_protein,std_oil,std_total_density,std_bone_density,std_bone_volume,std_total_volume,pc1,pc2,pc3,pc4,time_point,angle,camera_id
calibration,00F-012-09,13.2817039913629,3.10210817998954,1.34935651020305,1.46546789637024,133.940878418554,156.661601124293,2.0000000000000000,0.693991017313148,0.605293206493982,0.0384950576671169,0.047519506008924,15.0934726878529,23.5958491254499,,,,,,,
calibration,00S-005-14,12.8190966992034,2.74184660586689,1.11036692450637,1.41222522044657,96.9400680196692,141.982960606287,2.0000000000000000,0.492995289742742,0.521878976945137,0.0528343615306449,0.022338290780064,15.4618198843601,19.1328103319631,,,,,,,
calibration,02S-1077-15,12.4642000983822,2.07518168640049,1.26707408906583,1.47264588428758,80.9770261218768,110.424185674258,2.0000000000000000,0.465822883569549,0.456244903436525,0.0369334887513768,0.0242151915345599,5.5406745379545,7.70345307384147,,,,,,,
calibration,ae1,10.4098356212252,5.01199612130624,1.28528852167996,1.50331338224864,117.260977633001,141.667509495839,2.0000000000000000,1.45626088702229,0.93577432161482,0.0893356331104452,0.0124611317450217,22.1609222843117,9.61938691964252,,,,,,,
calibration,B73,11.1738167242101,3.47830291210374,1.28420949263704,1.38617947660991,177.603842123203,200.301925219089,2.0000000000000000,0.548059369247874,0.813763957450707,0.0499893890066861,0.0250249289890413,12.8533025586848,13.7433718629471,,,,,,,
calibration,B73xIl14H,13.3420908170716,5.10020583336946,1.4019328988673,1.51049399838128,182.34634866561,208.586156465887,2.0000000000000000,0.631739936340543,1.11344701298791,0.0813751193326678,0.0141982403870323,13.4301986627733,24.6773595425138,,,,,,,
calibration,B73xKy21,13.728456373699,3.69186323848001,1.13202299063949,1.32323595523948,207.550852641999,262.056171638399,2.0000000000000000,0.469537517762072,1.18481612114412,0.0380667819326233,0.0396373099100237,11.3643597216934,16.9729267738638,,,,,,,
calibration,B73xMo17,12.2440542092015,3.08238893495951,1.28179329191454,1.4103295037051,195.610687406808,230.985207152533,2.0000000000000000,0.672554036538573,1.08719092667075,0.0644052045591646,0.0241572382730166,12.6157913326984,25.8316398831773,,,,,,,
calibration,B97,10.7317973945391,3.58649863109015,1.29371280800491,1.43490642964671,210.35861955623,238.348615677518,2.0000000000000000,0.508656411020327,1.1194650578588,0.0818538133345848,0.0357458586496708,17.1322153980836,14.9376605837965,,,,,,,
calibration,bt1,15.1496047492213,7.17620478322101,1.15214234216926,1.49940218486809,87.9151395694272,125.02484749122,2.0000000000000000,0.308675733715861,0.678562249241658,0.0646071695050118,0.0199087563227407,13.6506293006693,26.3127571452673,,,,,,,
calibration,bt2,16.9582453330048,7.11708027285348,1.00919629973539,1.52965935653628,84.2163616418197,144.954212436818,2.0000000000000000,0.262207742915873,0.461728162969747,0.00928019876354215,0.0207454434788786,5.89137660694143,13.2638432114861,,,,,,,
calibration,cal-41,12.0055740568196,3.82101526561409,1.43187174123773,1.54064236753451,204.288409311985,226.98774174002,4.9791666666666667,0.8819161494634,0.679107142792794,0.0427627787283742,0.0281199941944415,22.3753876396646,25.7246270007393,,,,,,,
calibration,cal-42,12.8746117924862,3.53180303025068,1.42308607182221,1.55179700858646,182.778398681828,206.448189684571,4.9791666666666667,0.92036827902327,0.593766793844815,0.044478411351035,0.0293515575745456,17.0246149088998,20.5039179769116,,,,,,,
calibration,cal-43,11.8901287507975,3.49290422153852,1.41324129039075,1.52339690556866,210.708398591858,238.608150343445,5.0000000000000000,0.942080879616573,0.709190295082812,0.0432233625887741,0.0273344436674283,20.4349629125805,24.6079777145147,,,,,,,
calibration,cal-44,12.5537530108189,3.48889816892323,1.42349331395953,1.53736331936674,190.897861121355,217.961339584676,4.9791666666666667,1.0390998497654,0.652162401105684,0.0440143195536428,0.0272162638634683,20.2148835798517,23.734580698595,,,,,,,
