kernel_id,type,isolate,plate_name,protein,oil,total_density,bone_density,bone_volume,total_volume,repetitions,std_protein,std_oil,std_total_density,std_bone_density,std_bone_volume,std_total_volume,pc1,pc2,pc3,pc4
51967,NAM_parents,B97,07S-2048-06A,10.2475073613889,3.26434620704027,1.25196831278579,1.45260435128753,166.272558036619,193.727110757321,4,0.424913736052093,1.01488441340218,0.058779877012104,0.00948115806168617,19.4609302893661,15.101111847905,,,,
51439,calibration,cal-42,cal-42,13.069456187665,2.55938425968425,1.35909082494235,1.49518841810078,198.580283189546,232.420172780075,5,0.747526216631136,0.615492241925337,0.0344440884729762,0.0594125382701126,15.3805430873386,21.6448427061449,,,,
51701,calibration,cal-47,cal-47,12.7672758780832,3.68440564870054,1.38933566647598,1.48564272099971,157.639974068112,183.217938802381,5,0.614509093025459,0.453968407848193,0.0514941917555259,0.023895811379346,17.2371525553309,20.1471554120888,,,,
52296,NAM_parents,CML103,07S-2051-04B,11.9997867601619,2.92388366100489,1.32305168586797,1.453680568887,155.497301350811,185.297006725763,4,0.450078753568672,0.695625552541426,0.0206925640801259,0.0374661556129157,27.616996616879,28.758042542416,,,,
51465,calibration,cal-42,cal-42,12.5967084627134,5.19233907528007,1.51907384543817,1.64093859135688,167.24864167642,187.117521962335,5,0.635085864041344,1.09528439833724,0.0458998085559579,0.0392042660157088,24.4903742630824,27.5096250348749,,,,
51623,calibration,cal-45,cal-45,11.9933243367369,2.48970239933098,1.36024355127236,1.50401747176447,237.361641319974,277.30346896606,5,0.695296464643499,0.728735104843577,0.0593032458528995,0.0418677010090499,23.5256132876823,27.4788795903004,,,,
51816,NAM_parents,W22^ACR,04S-5253-07B,12.6231263024141,2.7881233838558,1.42789656715669,1.5197896898433,180.60255387832,205.587815138011,4,0.712417151977264,0.802500387236045,0.0774541924807306,0.0171293268573562,2.91171551094472,12.2795638753827,,,,
52204,NAM_parents,CML069,07S-2050-05B,12.9625746929009,3.22122530136522,1.52030747603368,1.58752019861177,192.130703268541,208.069578722743,4,1.48119046171384,1.32388295304024,0.0997820161476673,0.0373224954230364,10.3913425117685,10.3801868969147,,,,
52267,NAM_parents,CML103,07S-2051-04B,11.8077574226509,1.83622117167292,1.37882161520369,1.47175216771333,161.35143905468,189.066605076926,4,0.26267839496984,0.564837369186559,0.0299239922534692,0.0386790354722247,22.0733313973461,20.0582435864474,,,,
51585,calibration,cal-45,cal-45,14.3619282960645,4.53858052293838,1.47218835542145,1.56326235623507,149.980533339289,167.31864112713,5,1.36152665060603,0.457775401528781,0.0213222326326838,0.031187356305248,40.0744712904531,46.231184153362,,,,
51742,calibration,cal-48,cal-48,13.1678771363529,2.15877912139501,1.36659895780365,1.54675118303056,122.779096894129,143.591750684176,5,0.924730198066554,0.376211646433818,0.0692513683898839,0.0377695415917232,14.7395998625037,18.3534172699219,,,,
52152,NAM_parents,CML069,07S-2050-05A,13.535624111489,2.90252766691978,1.505643792694,1.63599904730314,164.756991588029,180.53355324393,4,0.913660263853209,0.81764552129416,0.0657110684621525,0.0748474560982424,20.6206259701342,21.1333928981302,,,,
52121,NAM_parents,CML052,07S-2049-02B,12.7471426698133,2.38048231982853,1.45339350439076,1.53841044336398,176.527426012849,197.111112942753,4,0.725255277267701,0.660524132843856,0.029922805929061,0.0162340413713182,19.5516522211391,24.6969524467256,,,,
51569,calibration,cal-44,cal-44,11.048042495463,3.67384793094549,1.39133984041311,1.50115931514001,202.929191100124,227.739046297848,5,1.23311720657592,0.494081545707454,0.046026832650861,0.0389960042331584,16.5144355252159,20.5873391256399,,,,
